Component_,Name,Value
C__368855A407D14693B4EB3AE549EFC3CD.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__368855A407D14693B4EB3AE549EFC3CD.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__39FA06DA38434F4A80747ECCB3F04883.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.Interop
C__39FA06DA38434F4A80747ECCB3F04883.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__39FA06DA38434F4A80747ECCB3F04883.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__39FA06DA38434F4A80747ECCB3F04883.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__4BB71012704645C2A9E684CE92149CA7.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.PdfExport
C__4BB71012704645C2A9E684CE92149CA7.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__4BB71012704645C2A9E684CE92149CA7.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__4BB71012704645C2A9E684CE92149CA7.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__584CDE6B87C24F1380AEFEB8E925B9ED.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.Web
C__584CDE6B87C24F1380AEFEB8E925B9ED.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__584CDE6B87C24F1380AEFEB8E925B9ED.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__584CDE6B87C24F1380AEFEB8E925B9ED.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__5E14379C20DC49D0B41C956DA40092F0.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.Web
C__5E14379C20DC49D0B41C956DA40092F0.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__5E14379C20DC49D0B41C956DA40092F0.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__5E14379C20DC49D0B41C956DA40092F0.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__63AB233AF4FD4E759EDF279EF0CF1FA9.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.TextExport
C__63AB233AF4FD4E759EDF279EF0CF1FA9.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__63AB233AF4FD4E759EDF279EF0CF1FA9.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__63AB233AF4FD4E759EDF279EF0CF1FA9.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__7EE26E93E6734BD68D52C315E0681BD9.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.RtfExport
C__7EE26E93E6734BD68D52C315E0681BD9.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__7EE26E93E6734BD68D52C315E0681BD9.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__7EE26E93E6734BD68D52C315E0681BD9.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__8B328C6CEF4240D588A1515F614FE084.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.XlsExport
C__8B328C6CEF4240D588A1515F614FE084.6492B5CA1425435EB4E109C1192F04D7,Version,3.4.0.2027
C__8B328C6CEF4240D588A1515F614FE084.6492B5CA1425435EB4E109C1192F04D7,Culture,neutral
C__8B328C6CEF4240D588A1515F614FE084.6492B5CA1425435EB4E109C1192F04D7,PublicKeyToken,CC4967777C49A3FF
C__93A6ECBD0FD647118689B8B72F891504.6492B5CA1425435EB4E109C1192F04D7,Name,ActiveReports.XlsExport
