Feature_,Component_
FeatureService,Citect.Ampla.Knowledge.Server.dll
FeatureService,Citect.Ampla.Knowledge.Server.pdb
FeatureService,Citect.Ampla.Maintenance.Server.dll
FeatureService,Citect.Ampla.Maintenance.Server.pdb
FeatureService,Citect.Ampla.MasterData.Activities.dll
FeatureService,Citect.Ampla.MasterData.Activities.pdb
FeatureService,Citect.Ampla.MasterData.Server.dll
FeatureService,Citect.Ampla.MasterData.Server.pdb
FeatureService,Citect.Ampla.MasterData.Workflows.dll
FeatureService,Citect.Ampla.MasterData.Workflows.pdb
FeatureService,Citect.Ampla.MessageQueue.Server.dll
FeatureService,Citect.Ampla.MessageQueue.Server.pdb
FeatureService,Citect.Ampla.Metrics.Server.dll
FeatureService,Citect.Ampla.Metrics.Server.pdb
FeatureService,Citect.Ampla.Modules.Common.dll
FeatureService,Citect.Ampla.Modules.Common.pdb
FeatureService,Citect.Ampla.MSSQL.Server.dll
FeatureService,Citect.Ampla.MSSQL.Server.pdb
FeatureService,Citect.Ampla.Notification.Server.dll
FeatureService,Citect.Ampla.Notification.Server.pdb
FeatureService,Citect.Ampla.Planning.Recipe.Server.ActiveReports.dll
FeatureService,Citect.Ampla.Planning.Recipe.Server.ActiveReports.pdb
FeatureService,Citect.Ampla.Planning.Recipe.Server.dll
FeatureService,Citect.Ampla.Planning.Recipe.Server.pdb
FeatureService,Citect.Ampla.Planning.Server.dll
FeatureService,Citect.Ampla.Planning.Server.pdb
FeatureService,Citect.Ampla.Plant2Business.Activities.dll
FeatureService,Citect.Ampla.Plant2Business.Activities.pdb
FeatureService,Citect.Ampla.Plant2Business.Mapping.dll
FeatureService,Citect.Ampla.Plant2Business.Mapping.pdb
FeatureService,Citect.Ampla.Plant2Business.Server.dll
FeatureService,Citect.Ampla.Plant2Business.Server.pdb
FeatureService,Citect.Ampla.Plant2Business.Workflows.dll
FeatureService,Citect.Ampla.Plant2Business.Workflows.pdb
FeatureService,Citect.Ampla.Production.Server.ActiveReports.dll
FeatureService,Citect.Ampla.Production.Server.ActiveReports.pdb
FeatureService,Citect.Ampla.Production.Server.dll
FeatureService,Citect.Ampla.Production.Server.pdb
FeatureService,Citect.Ampla.Public.MSSQL.Data.V200706.dll
FeatureService,Citect.Ampla.Public.MSSQL.Data.V200706.pdb
FeatureService,Citect.Ampla.Public.MSSQL.Data.V200706.XmlSerializers.dll
FeatureService,Citect.Ampla.Public.MSSQL.Data.V200806.dll
FeatureService,Citect.Ampla.Public.MSSQL.Data.V200806.pdb
FeatureService,Citect.Ampla.Public.MSSQL.Data.V200806.XmlSerializers.dll
FeatureService,Citect.Ampla.Public.MSSQL.dll
FeatureService,Citect.Ampla.Public.MSSQL.pdb
FeatureService,Citect.Ampla.Quality.Server.ActiveReports.dll
FeatureService,Citect.Ampla.Quality.Server.ActiveReports.pdb
FeatureService,Citect.Ampla.Quality.Server.dll
FeatureService,Citect.Ampla.Quality.Server.pdb
FeatureService,Citect.Ampla.SDK.Reports.dll
FeatureService,Citect.Ampla.SDK.Reports.pdb
FeatureService,Citect.Ampla.SDK.Reports.Utilities.dll
FeatureService,Citect.Ampla.SDK.Reports.Utilities.pdb
FeatureService,Citect.Ampla.UpgradeScripts.dll
FeatureService,Citect.Ampla.UpgradeScripts.pdb
FeatureService,Citect.Ampla.WebServiceClients.dll
FeatureService,Citect.Ampla.WebServiceClients.pdb
FeatureService,Citect.Ampla.WebServices.Contracts.dll
FeatureService,Citect.Ampla.WebServices.Contracts.pdb
