File,Component_,FileName,FileSize,Version,Language,Attributes,Sequence
ptBr.Citect.Ampla.Metrics.Server.resources.dll,ptBr.Citect.Ampla.Metrics.Server.resources.dll,rphfecvn.dll|Citect.Ampla.Metrics.Server.resources.dll,23552,5.2.6135.0,0,1536,848
ptBr.Citect.Ampla.Modules.Client.resources.dll,ptBr.Citect.Ampla.Modules.Client.resources.dll,eddkdjhv.dll|Citect.Ampla.Modules.Client.resources.dll,56832,5.2.6135.0,0,1536,849
ptBr.Citect.Ampla.Modules.Common.resources.dll,ptBr.Citect.Ampla.Modules.Common.resources.dll,tq4qhrxf.dll|Citect.Ampla.Modules.Common.resources.dll,8192,5.2.6135.0,0,1536,850
ptBr.Citect.Ampla.MSSQL.Server.resources.dll,ptBr.Citect.Ampla.MSSQL.Server.resources.dll,fmkzmgwf.dll|Citect.Ampla.MSSQL.Server.resources.dll,6656,5.2.6135.0,0,1536,851
ptBr.Citect.Ampla.Notification.Client.resources.dll,ptBr.Citect.Ampla.Notification.Client.resources.dll,mxszdzdv.dll|Citect.Ampla.Notification.Client.resources.dll,6656,5.2.6135.0,0,1536,852
ptBr.Citect.Ampla.Notification.Server.resources.dll,ptBr.Citect.Ampla.Notification.Server.resources.dll,inikjlzg.dll|Citect.Ampla.Notification.Server.resources.dll,10752,5.2.6135.0,0,1536,853
ptBr.Citect.Ampla.Planning.Recipe.Server.ActiveReports.resources.dll,ptBr.Citect.Ampla.Planning.Recipe.Server.ActiveReports.resources.dll,ihoaueju.dll|Citect.Ampla.Planning.Recipe.Server.ActiveReports.resources.dll,4608,5.2.6135.0,0,1536,854
ptBr.Citect.Ampla.Planning.Recipe.Server.resources.dll,ptBr.Citect.Ampla.Planning.Recipe.Server.resources.dll,vpg3ojue.dll|Citect.Ampla.Planning.Recipe.Server.resources.dll,18944,5.2.6135.0,0,1536,855
ptBr.Citect.Ampla.Planning.Server.resources.dll,ptBr.Citect.Ampla.Planning.Server.resources.dll,nedui6xn.dll|Citect.Ampla.Planning.Server.resources.dll,18944,5.2.6135.0,0,1536,856
ptBr.Citect.Ampla.Plant2Business.Activities.resources.dll,ptBr.Citect.Ampla.Plant2Business.Activities.resources.dll,qcacyw0t.dll|Citect.Ampla.Plant2Business.Activities.resources.dll,14848,5.2.6135.0,0,1536,857
ptBr.Citect.Ampla.Plant2Business.Mapping.resources.dll,ptBr.Citect.Ampla.Plant2Business.Mapping.resources.dll,d29mibf2.dll|Citect.Ampla.Plant2Business.Mapping.resources.dll,5120,5.2.6135.0,0,1536,858
ptBr.Citect.Ampla.Plant2Business.Server.resources.dll,ptBr.Citect.Ampla.Plant2Business.Server.resources.dll,zhiysdd5.dll|Citect.Ampla.Plant2Business.Server.resources.dll,19968,5.2.6135.0,0,1536,859
ptBr.Citect.Ampla.Production.Server.ActiveReports.resources.dll,ptBr.Citect.Ampla.Production.Server.ActiveReports.resources.dll,hcoivqhw.dll|Citect.Ampla.Production.Server.ActiveReports.resources.dll,8704,5.2.6135.0,0,1536,860
ptBr.Citect.Ampla.Production.Server.resources.dll,ptBr.Citect.Ampla.Production.Server.resources.dll,i4q7w1lh.dll|Citect.Ampla.Production.Server.resources.dll,6144,5.2.6135.0,0,1536,861
ptBr.Citect.Ampla.Public.MSSQL.resources.dll,ptBr.Citect.Ampla.Public.MSSQL.resources.dll,lab2cs10.dll|Citect.Ampla.Public.MSSQL.resources.dll,11776,5.2.6135.0,0,1536,862
ptBr.Citect.Ampla.Quality.Server.ActiveReports.resources.dll,ptBr.Citect.Ampla.Quality.Server.ActiveReports.resources.dll,r8waq6tq.dll|Citect.Ampla.Quality.Server.ActiveReports.resources.dll,8704,5.2.6135.0,0,1536,863
ptBr.Citect.Ampla.Quality.Server.resources.dll,ptBr.Citect.Ampla.Quality.Server.resources.dll,talerqlm.dll|Citect.Ampla.Quality.Server.resources.dll,12288,5.2.6135.0,0,1536,864
ptBr.Citect.Ampla.WebServices.resources.dll,ptBr.Citect.Ampla.WebServices.resources.dll,hytvsuqd.dll|Citect.Ampla.WebServices.resources.dll,19968,5.2.6135.0,0,1536,872
ptBr.Citect.Ampla.Workflow.Common.resources.dll,ptBr.Citect.Ampla.Workflow.Common.resources.dll,_burhb9x.dll|Citect.Ampla.Workflow.Common.resources.dll,4608,5.2.6135.0,0,1536,873
ptBr.Citect.Ampla.Workflow.ServiceHost.resources.dll,ptBr.Citect.Ampla.Workflow.ServiceHost.resources.dll,rkwkowbb.dll|Citect.Ampla.Workflow.ServiceHost.resources.dll,4608,1.0.0.0,0,1536,874
ptBr.ControlEditor.resources.dll,ptBr.ControlEditor.resources.dll,5jaujg-z.dll|ControlEditor.resources.dll,4096,5.2.6135.0,0,1536,879
ptBr.ProductionAnalyst.resources.dll,ptBr.ProductionAnalyst.resources.dll,vm0a3h8w.dll|ProductionAnalyst.resources.dll,4096,5.2.6135.0,0,1536,881
ptBr.ProductionAnalyst.Common.resources.dll,ptBr.ProductionAnalyst.Common.resources.dll,72ktnrgw.dll|ProductionAnalyst.Common.resources.dll,5120,5.2.6135.0,0,1536,880
ptBr.Citect.Ampla.General.Client.Common.resources.dll,ptBr.Citect.Ampla.General.Client.Common.resources.dll,8lk_n9m9.dll|Citect.Ampla.General.Client.Common.resources.dll,5120,5.2.6135.0,0,1536,835
zhChs.Citect.Ampla.ActiveReports.Server.resources.dll,zhChs.Citect.Ampla.ActiveReports.Server.resources.dll,ltlx4xzt.dll|Citect.Ampla.ActiveReports.Server.resources.dll,5120,5.2.6135.0,0,1536,1016
zhChs.Citect.Ampla.Connectors.FileConnector.resources.dll,zhChs.Citect.Ampla.Connectors.FileConnector.resources.dll,3yvd5o2w.dll|Citect.Ampla.Connectors.FileConnector.resources.dll,6144,5.2.6135.0,0,1536,1017
zhChs.Citect.Ampla.Connectors.SerialConnectors.resources.dll,zhChs.Citect.Ampla.Connectors.SerialConnectors.resources.dll,qjcgmptj.dll|Citect.Ampla.Connectors.SerialConnectors.resources.dll,6144,5.2.6135.0,0,1536,1022
zhChs.Citect.Ampla.Controls.resources.dll,zhChs.Citect.Ampla.Controls.resources.dll,7pj9obp3.dll|Citect.Ampla.Controls.resources.dll,16384,5.2.6135.0,0,1536,1023
zhChs.Citect.Ampla.Cost.Server.resources.dll,zhChs.Citect.Ampla.Cost.Server.resources.dll,1cy9go4g.dll|Citect.Ampla.Cost.Server.resources.dll,8704,5.2.6135.0,0,1536,1024
zhChs.Citect.Ampla.Downtime.Server.ActiveReports.resources.dll,zhChs.Citect.Ampla.Downtime.Server.ActiveReports.resources.dll,bwufibch.dll|Citect.Ampla.Downtime.Server.ActiveReports.resources.dll,8192,5.2.6135.0,0,1536,1025
zhChs.Citect.Ampla.Downtime.Server.resources.dll,zhChs.Citect.Ampla.Downtime.Server.resources.dll,epfwwmjc.dll|Citect.Ampla.Downtime.Server.resources.dll,17408,5.2.6135.0,0,1536,1026
zhChs.Citect.Ampla.Energy.Server.resources.dll,zhChs.Citect.Ampla.Energy.Server.resources.dll,ia-r_ve2.dll|Citect.Ampla.Energy.Server.resources.dll,9728,5.2.6135.0,0,1536,1027
zhChs.Citect.Ampla.Framework.Extras.resources.dll,zhChs.Citect.Ampla.Framework.Extras.resources.dll,qhvzokyh.dll|Citect.Ampla.Framework.Extras.resources.dll,5632,5.2.6135.0,0,1536,1028
zhChs.Citect.Ampla.General.Client.resources.dll,zhChs.Citect.Ampla.General.Client.resources.dll,gbb500bx.dll|Citect.Ampla.General.Client.resources.dll,99328,5.2.6135.0,0,1536,1032
zhChs.Citect.Ampla.General.Common.Chart.resources.dll,zhChs.Citect.Ampla.General.Common.Chart.resources.dll,6p6fjukw.dll|Citect.Ampla.General.Common.Chart.resources.dll,8192,5.2.6135.0,0,1536,1033
zhChs.Citect.Ampla.General.Common.Gui.resources.dll,zhChs.Citect.Ampla.General.Common.Gui.resources.dll,b8qlxnye.dll|Citect.Ampla.General.Common.Gui.resources.dll,59392,5.2.6135.0,0,1536,1034
zhChs.Citect.Ampla.General.Common.resources.dll,zhChs.Citect.Ampla.General.Common.resources.dll,usgu7nw6.dll|Citect.Ampla.General.Common.resources.dll,8192,5.2.6135.0,0,1536,1035
zhChs.Citect.Ampla.General.Server.ActiveReports.resources.dll,zhChs.Citect.Ampla.General.Server.ActiveReports.resources.dll,ynu-a589.dll|Citect.Ampla.General.Server.ActiveReports.resources.dll,5632,5.2.6135.0,0,1536,1036
zhChs.Citect.Ampla.General.Server.resources.dll,zhChs.Citect.Ampla.General.Server.resources.dll,ocl8wod3.dll|Citect.Ampla.General.Server.resources.dll,179200,5.2.6135.0,0,1536,1037
zhChs.Citect.Ampla.Inventory.Server.resources.dll,zhChs.Citect.Ampla.Inventory.Server.resources.dll,1ag29djv.dll|Citect.Ampla.Inventory.Server.resources.dll,7680,5.2.6135.0,0,1536,1038
zhChs.Citect.Ampla.Knowledge.Server.resources.dll,zhChs.Citect.Ampla.Knowledge.Server.resources.dll,trezmhlc.dll|Citect.Ampla.Knowledge.Server.resources.dll,6144,5.2.6135.0,0,1536,1039
zhChs.Citect.Ampla.Maintenance.Server.resources.dll,zhChs.Citect.Ampla.Maintenance.Server.resources.dll,lmfbyfbj.dll|Citect.Ampla.Maintenance.Server.resources.dll,7168,5.2.6135.0,0,1536,1040
zhChs.Citect.Ampla.MasterData.Activities.resources.dll,zhChs.Citect.Ampla.MasterData.Activities.resources.dll,jffzvrmm.dll|Citect.Ampla.MasterData.Activities.resources.dll,4608,5.2.6135.0,0,1536,1041
zhChs.Citect.Ampla.MasterData.Server.resources.dll,zhChs.Citect.Ampla.MasterData.Server.resources.dll,hbsok-dp.dll|Citect.Ampla.MasterData.Server.resources.dll,7168,5.2.6135.0,0,1536,1042
zhChs.Citect.Ampla.MessageQueue.Server.resources.dll,zhChs.Citect.Ampla.MessageQueue.Server.resources.dll,kjshbxeg.dll|Citect.Ampla.MessageQueue.Server.resources.dll,6656,5.2.6135.0,0,1536,1043
zhChs.Citect.Ampla.Metrics.Server.resources.dll,zhChs.Citect.Ampla.Metrics.Server.resources.dll,2zt7ji6x.dll|Citect.Ampla.Metrics.Server.resources.dll,23040,5.2.6135.0,0,1536,1044
zhChs.Citect.Ampla.Modules.Client.resources.dll,zhChs.Citect.Ampla.Modules.Client.resources.dll,wtfm9mhp.dll|Citect.Ampla.Modules.Client.resources.dll,58880,5.2.6135.0,0,1536,1045
zhChs.Citect.Ampla.Modules.Common.resources.dll,zhChs.Citect.Ampla.Modules.Common.resources.dll,0o36v0rp.dll|Citect.Ampla.Modules.Common.resources.dll,8192,5.2.6135.0,0,1536,1046
zhChs.Citect.Ampla.MSSQL.Server.resources.dll,zhChs.Citect.Ampla.MSSQL.Server.resources.dll,rgnpt6kz.dll|Citect.Ampla.MSSQL.Server.resources.dll,6656,5.2.6135.0,0,1536,1047
zhChs.Citect.Ampla.Notification.Client.resources.dll,zhChs.Citect.Ampla.Notification.Client.resources.dll,zax3phhr.dll|Citect.Ampla.Notification.Client.resources.dll,6656,5.2.6135.0,0,1536,1048
zhChs.Citect.Ampla.Notification.Server.resources.dll,zhChs.Citect.Ampla.Notification.Server.resources.dll,5p_csqeu.dll|Citect.Ampla.Notification.Server.resources.dll,9728,5.2.6135.0,0,1536,1049
zhChs.Citect.Ampla.Planning.Recipe.Server.ActiveReports.resources.dll,zhChs.Citect.Ampla.Planning.Recipe.Server.ActiveReports.resources.dll,ois3vbxm.dll|Citect.Ampla.Planning.Recipe.Server.ActiveReports.resources.dll,4608,5.2.6135.0,0,1536,1050
zhChs.Citect.Ampla.Planning.Recipe.Server.resources.dll,zhChs.Citect.Ampla.Planning.Recipe.Server.resources.dll,ml4hadgz.dll|Citect.Ampla.Planning.Recipe.Server.resources.dll,17920,5.2.6135.0,0,1536,1051
zhChs.Citect.Ampla.Planning.Server.resources.dll,zhChs.Citect.Ampla.Planning.Server.resources.dll,39jsxoq4.dll|Citect.Ampla.Planning.Server.resources.dll,17920,5.2.6135.0,0,1536,1052
zhChs.Citect.Ampla.Plant2Business.Activities.resources.dll,zhChs.Citect.Ampla.Plant2Business.Activities.resources.dll,swkbhjmj.dll|Citect.Ampla.Plant2Business.Activities.resources.dll,14336,5.2.6135.0,0,1536,1053
zhChs.Citect.Ampla.Plant2Business.Mapping.resources.dll,zhChs.Citect.Ampla.Plant2Business.Mapping.resources.dll,kv0fvrfd.dll|Citect.Ampla.Plant2Business.Mapping.resources.dll,5120,5.2.6135.0,0,1536,1054
zhChs.Citect.Ampla.Plant2Business.Server.resources.dll,zhChs.Citect.Ampla.Plant2Business.Server.resources.dll,nrm4wa4b.dll|Citect.Ampla.Plant2Business.Server.resources.dll,18432,5.2.6135.0,0,1536,1055
zhChs.Citect.Ampla.Production.Server.ActiveReports.resources.dll,zhChs.Citect.Ampla.Production.Server.ActiveReports.resources.dll,5ao03vpy.dll|Citect.Ampla.Production.Server.ActiveReports.resources.dll,8704,5.2.6135.0,0,1536,1056
zhChs.Citect.Ampla.Production.Server.resources.dll,zhChs.Citect.Ampla.Production.Server.resources.dll,ixizlfuk.dll|Citect.Ampla.Production.Server.resources.dll,5632,5.2.6135.0,0,1536,1057
zhChs.Citect.Ampla.Public.MSSQL.resources.dll,zhChs.Citect.Ampla.Public.MSSQL.resources.dll,fkym_uvf.dll|Citect.Ampla.Public.MSSQL.resources.dll,10752,5.2.6135.0,0,1536,1058
zhChs.Citect.Ampla.Quality.Server.ActiveReports.resources.dll,zhChs.Citect.Ampla.Quality.Server.ActiveReports.resources.dll,9e9lzvyk.dll|Citect.Ampla.Quality.Server.ActiveReports.resources.dll,8192,5.2.6135.0,0,1536,1059
zhChs.Citect.Ampla.Quality.Server.resources.dll,zhChs.Citect.Ampla.Quality.Server.resources.dll,mhq4owpm.dll|Citect.Ampla.Quality.Server.resources.dll,11264,5.2.6135.0,0,1536,1060
zhChs.Citect.Ampla.WebServices.resources.dll,zhChs.Citect.Ampla.WebServices.resources.dll,p6hc9tk_.dll|Citect.Ampla.WebServices.resources.dll,17920,5.2.6135.0,0,1536,1068
zhChs.Citect.Ampla.Workflow.Common.resources.dll,zhChs.Citect.Ampla.Workflow.Common.resources.dll,uc6q1ds_.dll|Citect.Ampla.Workflow.Common.resources.dll,4608,5.2.6135.0,0,1536,1069
zhChs.Citect.Ampla.Workflow.ServiceHost.resources.dll,zhChs.Citect.Ampla.Workflow.ServiceHost.resources.dll,_36cvpxi.dll|Citect.Ampla.Workflow.ServiceHost.resources.dll,4608,1.0.0.0,0,1536,1070
zhChs.ControlEditor.resources.dll,zhChs.ControlEditor.resources.dll,gkxrb5vu.dll|ControlEditor.resources.dll,4096,5.2.6135.0,0,1536,1075
zhChs.ProductionAnalyst.resources.dll,zhChs.ProductionAnalyst.resources.dll,ldxgz_bj.dll|ProductionAnalyst.resources.dll,4096,5.2.6135.0,0,1536,1077
zhChs.ProductionAnalyst.Common.resources.dll,zhChs.ProductionAnalyst.Common.resources.dll,abhl4cnn.dll|ProductionAnalyst.Common.resources.dll,5120,5.2.6135.0,0,1536,1076
zhChs.Citect.Ampla.General.Client.Common.resources.dll,zhChs.Citect.Ampla.General.Client.Common.resources.dll,llwnjywj.dll|Citect.Ampla.General.Client.Common.resources.dll,5120,5.2.6135.0,0,1536,1031
ru.Citect.Ampla.ActiveReports.Server.resources.dll,ru.Citect.Ampla.ActiveReports.Server.resources.dll,oetszk-d.dll|Citect.Ampla.ActiveReports.Server.resources.dll,5120,5.2.6135.0,0,1536,891
ru.Citect.Ampla.Connectors.FileConnector.resources.dll,ru.Citect.Ampla.Connectors.FileConnector.resources.dll,gkwgjkyd.dll|Citect.Ampla.Connectors.FileConnector.resources.dll,7168,5.2.6135.0,0,1536,892
ru.Citect.Ampla.Connectors.SerialConnectors.resources.dll,ru.Citect.Ampla.Connectors.SerialConnectors.resources.dll,uer4jesw.dll|Citect.Ampla.Connectors.SerialConnectors.resources.dll,6656,5.2.6135.0,0,1536,893
ru.Citect.Ampla.Controls.resources.dll,ru.Citect.Ampla.Controls.resources.dll,qnupttu2.dll|Citect.Ampla.Controls.resources.dll,32768,5.2.6135.0,0,1536,894
ru.Citect.Ampla.Cost.Server.resources.dll,ru.Citect.Ampla.Cost.Server.resources.dll,dfguzk6y.dll|Citect.Ampla.Cost.Server.resources.dll,9728,5.2.6135.0,0,1536,895
ru.Citect.Ampla.Downtime.Server.ActiveReports.resources.dll,ru.Citect.Ampla.Downtime.Server.ActiveReports.resources.dll,or0z409n.dll|Citect.Ampla.Downtime.Server.ActiveReports.resources.dll,8704,5.2.6135.0,0,1536,896
ru.Citect.Ampla.Downtime.Server.resources.dll,ru.Citect.Ampla.Downtime.Server.resources.dll,andbd43k.dll|Citect.Ampla.Downtime.Server.resources.dll,22528,5.2.6135.0,0,1536,897
ru.Citect.Ampla.Energy.Server.resources.dll,ru.Citect.Ampla.Energy.Server.resources.dll,bnwo_oer.dll|Citect.Ampla.Energy.Server.resources.dll,11776,5.2.6135.0,0,1536,898
ru.Citect.Ampla.Framework.Extras.resources.dll,ru.Citect.Ampla.Framework.Extras.resources.dll,fniccudk.dll|Citect.Ampla.Framework.Extras.resources.dll,5632,5.2.6135.0,0,1536,899
ru.Citect.Ampla.General.Client.resources.dll,ru.Citect.Ampla.General.Client.resources.dll,eqmohzcq.dll|Citect.Ampla.General.Client.resources.dll,86528,5.2.6135.0,0,1536,901
ru.Citect.Ampla.General.Common.Chart.resources.dll,ru.Citect.Ampla.General.Common.Chart.resources.dll,5nyyxcqa.dll|Citect.Ampla.General.Common.Chart.resources.dll,9216,5.2.6135.0,0,1536,902
ru.Citect.Ampla.General.Common.Gui.resources.dll,ru.Citect.Ampla.General.Common.Gui.resources.dll,ectculnf.dll|Citect.Ampla.General.Common.Gui.resources.dll,40960,5.2.6135.0,0,1536,903
ru.Citect.Ampla.General.Common.resources.dll,ru.Citect.Ampla.General.Common.resources.dll,muxzhx7k.dll|Citect.Ampla.General.Common.resources.dll,9216,5.2.6135.0,0,1536,904
ru.Citect.Ampla.General.Server.ActiveReports.resources.dll,ru.Citect.Ampla.General.Server.ActiveReports.resources.dll,5o44xs0y.dll|Citect.Ampla.General.Server.ActiveReports.resources.dll,5632,5.2.6135.0,0,1536,905
ru.Citect.Ampla.General.Server.resources.dll,ru.Citect.Ampla.General.Server.resources.dll,qj3wtjhf.dll|Citect.Ampla.General.Server.resources.dll,218624,5.2.6135.0,0,1536,906
ru.Citect.Ampla.Inventory.Server.resources.dll,ru.Citect.Ampla.Inventory.Server.resources.dll,kzm0pszj.dll|Citect.Ampla.Inventory.Server.resources.dll,8192,5.2.6135.0,0,1536,907
ru.Citect.Ampla.Knowledge.Server.resources.dll,ru.Citect.Ampla.Knowledge.Server.resources.dll,yo_2awxx.dll|Citect.Ampla.Knowledge.Server.resources.dll,6656,5.2.6135.0,0,1536,908
